All Transactions Activity Types

Account Activity for maya -3758 from 2024

Total:,0.0

Activity/Trade Date,Transaction Date,Settlement Date,Activity Type,Description,Symbol,Cusip,Quantity #,Price $,Amount $,Commission,Category,Note
12/18/24,12/18/24,,Dividend,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT,EA,--,0.434,155.15595,-67.25,0,--,--
12/18/24,12/18/24,,Qualified Dividend,ELECTRONIC ARTS INC REC 12/18/24 PAY 12/18/24 RATE 0.00000000 QTY 0.00000000,EA,--,0,0,67.25,0,--,--
09/18/24,09/18/24,,Dividend,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT,EA,--,0.459,146.5197,-67.16,0,--,--
09/18/24,09/18/24,,Dividend,ELECTRONIC ARTS INC REC 09/18/24 PAY 09/18/24 RATE 0.00000000 QTY 0.00000000,EA,--,0,0,67.16,0,--,--
06/20/24,06/20/24,,Dividend,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT,EA,--,0.489,137.1322,-67.07,0,--,--
06/20/24,06/20/24,,Dividend,ELECTRONIC ARTS INC REC 06/20/24 PAY 06/20/24 RATE 0.00000000 QTY 0.00000000,EA,--,0,0,67.07,0,--,--
03/20/24,03/20/24,,Dividend,ELECTRONIC ARTS INC DIVIDEND REINVESTMENT,EA,--,0.506,132.47556,-66.97,0,--,--
03/20/24,03/20/24,,Dividend,ELECTRONIC ARTS INC REC 03/20/24 PAY 03/20/24 RATE 0.00000000 QTY 0.00000000,EA,--,0,0,66.97,0,--,--
